dept,endsite,time,m,w,num
6,260,2016-01-12,1,2,35
6,260,2016-01-13,1,3,35
6,260,2016-01-14,1,4,45
6,260,2016-01-15,1,5,50
6,260,2016-01-16,1,6,50
6,260,2016-01-17,1,7,36
6,260,2016-01-18,1,1,44
6,260,2016-01-19,1,2,45
6,260,2016-01-20,1,3,54
6,260,2016-01-21,1,4,55
6,260,2016-01-22,1,5,34
6,260,2016-01-23,1,6,33
6,260,2016-01-24,1,7,45
6,260,2016-01-25,1,1,34
6,260,2016-01-26,1,2,32
6,260,2016-01-27,1,3,43
6,260,2016-01-28,1,4,43
6,260,2016-01-29,1,5,51
6,260,2016-01-30,1,6,42
6,260,2016-01-31,1,7,31
6,260,2016-02-01,2,1,56
6,260,2016-02-02,2,2,73
6,260,2016-02-03,2,3,78
6,260,2016-02-04,2,4,76
6,260,2016-02-05,2,5,77
6,260,2016-02-06,2,6,109
6,260,2016-02-07,2,7,34
6,260,2016-02-08,2,1,25
6,260,2016-02-09,2,2,42
6,260,2016-02-10,2,3,106
6,260,2016-02-11,2,4,100
6,260,2016-02-12,2,5,112
6,260,2016-02-13,2,6,104
6,260,2016-02-14,2,7,86
6,260,2016-02-15,2,1,84
6,260,2016-02-16,2,2,83
6,260,2016-02-17,2,3,59
6,260,2016-02-18,2,4,42
6,260,2016-02-19,2,5,40
6,260,2016-02-20,2,6,51
6,260,2016-02-21,2,7,44
6,260,2016-02-22,2,1,42
6,260,2016-02-23,2,2,123
6,260,2016-02-24,2,3,115
6,260,2016-02-25,2,4,98
6,260,2016-02-26,2,5,54
6,260,2016-02-27,2,6,42
6,260,2016-02-28,2,7,48
6,260,2016-02-29,2,1,43
6,260,2016-03-01,3,2,32
6,260,2016-03-02,3,3,40
6,260,2016-03-03,3,4,47
6,260,2016-03-04,3,5,50
6,260,2016-03-05,3,6,37
6,260,2016-03-06,3,7,72
6,260,2016-03-07,3,1,47
6,260,2016-03-08,3,2,36
6,260,2016-03-09,3,3,42
6,260,2016-03-10,3,4,33
6,260,2016-03-11,3,5,40
6,260,2016-03-12,3,6,45
6,260,2016-03-13,3,7,43
6,260,2016-03-14,3,1,35
6,260,2016-03-15,3,2,50
6,260,2016-03-16,3,3,13
6,260,2016-03-17,3,4,22
6,260,2016-03-18,3,5,52
6,260,2016-03-19,3,6,44
6,260,2016-03-20,3,7,67
6,260,2016-03-21,3,1,29
6,260,2016-03-22,3,2,38
6,260,2016-03-23,3,3,42
6,260,2016-03-24,3,4,36
6,260,2016-03-25,3,5,40
6,260,2016-03-26,3,6,31
6,260,2016-03-27,3,7,44
6,260,2016-03-28,3,1,30
6,260,2016-03-29,3,2,30
6,260,2016-03-30,3,3,38
6,260,2016-03-31,3,4,47
6,260,2016-04-01,4,5,106
6,260,2016-04-02,4,6,72
6,260,2016-04-03,4,7,68
6,260,2016-04-04,4,1,97
6,260,2016-04-05,4,2,67
6,260,2016-04-06,4,3,31
6,260,2016-04-07,4,4,36
6,260,2016-04-08,4,5,41
6,260,2016-04-09,4,6,18
6,260,2016-04-10,4,7,45
6,260,2016-04-11,4,1,26
6,260,2016-04-12,4,2,51
6,260,2016-04-13,4,3,29
6,260,2016-04-14,4,4,37
6,260,2016-04-15,4,5,41
6,260,2016-04-16,4,6,28
6,260,2016-04-17,4,7,25
6,260,2016-04-18,4,1,41
6,260,2016-04-19,4,2,28
6,260,2016-04-20,4,3,19
6,260,2016-04-21,4,4,24
6,260,2016-04-22,4,5,32
6,260,2016-04-23,4,6,19
6,260,2016-04-24,4,7,45
6,260,2016-04-25,4,1,23
6,260,2016-04-26,4,2,25
6,260,2016-04-27,4,3,32
