dept,endsite,time,m,w,num
11,260,2016-02-27,2,6,74
11,260,2016-02-28,2,7,72
11,260,2016-02-29,2,1,56
11,260,2016-03-01,3,2,72
11,260,2016-03-02,3,3,71
11,260,2016-03-03,3,4,69
11,260,2016-03-04,3,5,61
11,260,2016-03-05,3,6,54
11,260,2016-03-06,3,7,74
11,260,2016-03-07,3,1,48
11,260,2016-03-08,3,2,67
11,260,2016-03-09,3,3,52
11,260,2016-03-10,3,4,60
11,260,2016-03-11,3,5,62
11,260,2016-03-12,3,6,70
11,260,2016-03-13,3,7,71
11,260,2016-03-14,3,1,74
11,260,2016-03-15,3,2,51
11,260,2016-03-16,3,3,55
11,260,2016-03-17,3,4,57
11,260,2016-03-18,3,5,55
11,260,2016-03-19,3,6,61
11,260,2016-03-20,3,7,54
11,260,2016-03-21,3,1,50
11,260,2016-03-22,3,2,49
11,260,2016-03-23,3,3,58
11,260,2016-03-24,3,4,70
11,260,2016-03-25,3,5,72
11,260,2016-03-26,3,6,51
11,260,2016-03-27,3,7,71
11,260,2016-03-28,3,1,69
11,260,2016-03-29,3,2,65
11,260,2016-03-30,3,3,78
11,260,2016-03-31,3,4,89
11,260,2016-04-01,4,5,211
11,260,2016-04-02,4,6,193
11,260,2016-04-03,4,7,132
11,260,2016-04-04,4,1,86
11,260,2016-04-05,4,2,70
11,260,2016-04-06,4,3,63
11,260,2016-04-07,4,4,63
11,260,2016-04-08,4,5,58
11,260,2016-04-09,4,6,54
11,260,2016-04-10,4,7,60
11,260,2016-04-11,4,1,72
11,260,2016-04-12,4,2,47
11,260,2016-04-13,4,3,56
11,260,2016-04-14,4,4,61
11,260,2016-04-15,4,5,54
11,260,2016-04-16,4,6,67
11,260,2016-04-17,4,7,49
11,260,2016-04-18,4,1,61
11,260,2016-04-19,4,2,59
11,260,2016-04-20,4,3,58
11,260,2016-04-21,4,4,53
11,260,2016-04-22,4,5,69
11,260,2016-04-23,4,6,53
11,260,2016-04-24,4,7,52
11,260,2016-04-25,4,1,71
11,260,2016-04-26,4,2,62
11,260,2016-04-27,4,3,78
11,260,2016-04-28,4,4,82
11,260,2016-04-29,4,5,222
11,260,2016-04-30,4,6,152
11,260,2016-05-01,5,7,120
11,260,2016-05-02,5,1,117
11,260,2016-05-03,5,2,94
11,260,2016-05-04,5,3,76
11,260,2016-05-05,5,4,68
11,260,2016-05-06,5,5,60
11,260,2016-05-07,5,6,56
11,260,2016-05-08,5,7,44
11,260,2016-05-09,5,1,40
11,260,2016-05-10,5,2,54
11,260,2016-05-11,5,3,58
11,260,2016-05-12,5,4,58
11,260,2016-05-13,5,5,76
11,260,2016-05-14,5,6,52
11,260,2016-05-15,5,7,59
11,260,2016-05-16,5,1,62
11,260,2016-05-17,5,2,55
11,260,2016-05-18,5,3,46
11,260,2016-05-19,5,4,71
11,260,2016-05-20,5,5,62
11,260,2016-05-21,5,6,62
11,260,2016-05-22,5,7,61
11,260,2016-05-23,5,1,49
11,260,2016-05-24,5,2,52
11,260,2016-05-25,5,3,59
11,260,2016-05-26,5,4,65
11,260,2016-05-27,5,5,61
11,260,2016-05-28,5,6,62
11,260,2016-05-29,5,7,58
11,260,2016-05-30,5,1,64
11,260,2016-05-31,5,2,49
